id,date,claim,outcome,condition,evidence_evals,contradicts,thesis_contribution,status,notes
ir-ood-recall-ceiling,2026-05-30,IR YOLO has a hidden OOD recall ceiling: R=0.264 on ir_drone_night and 0.519 on ir_mixed_cbam vs 0.945 Anti-UAV / 0.973 Svanstrom - a thesis limitation,conditional,"ir_drone_night is heavily sensor-augmented (worst-case probe, not a fair OOD test)",,,,confirmed,"§8.3,§8 caveats"
ft4-backbone-freeze,2026-05-30,"FT4 R3 (300 hard-negs, freeze=15, 3 epochs) is the only confuser-injection config passing all regression gates; freeze=15 is necessary AND sufficient to prevent catastrophic forgetting (freeze=12 regresses Svan recall/F1 even at 300 HN); -16pp confuser halluc",supported,,,,backbone-freeze depth controls catastrophic forgetting during hard-negative injection,confirmed,"§[2026-05-27] ft4 ablation; R1/R2 FAIL, R3 PASS; A1-A4 ratio rescue all FAIL"
patch-version-ranking,2026-05-30,patch verifier versions rank v4(0.9331)~=v2(0.9311)>v1(0.9241)>v3(0.8781) on Svanstrom F1; v3 over-aggressive; production ships v2,supported,,patch_v1_svan640;patch_v2_svan640;patch_v3_svan640;patch_v4_svan640,,,confirmed,§6; imgsz likely 640 (§11 open)
patch-catch-below-bar,2026-05-30,baseline RGB x v2 patch catch rates at thr=0.5 are bird 64%/airplane 52%/heli 71% - all below the 0.90 bar; drone-TP veto only 5.4%; misses are 'other'-class crops,supported,,patch_catch_v2_svan,,patch verifier alone insufficient on baseline confuser output; motivates retraining/distillation,confirmed,§6.1
control40-deprecated,2026-05-30,"control_v3more_40feat wins every Svanstrom drone metric at S3 (R0.893 F10.909 vs sa32 0.868/0.896) and ties sa32 on OOD zoo, but loses 18-22pp segment drone F1 on real video; no regime favors it",supported,,svan_s3_control40_thr09;clfzoo_control40;pipe3clf_control40,,,confirmed,"§7,§9.5.8"
cascade-perframe-misleading,2026-05-30,per-frame metrics misrepresent the cascade: classifier stage drops per-frame drone F1 -17 to -18pp for 3/4 RGB variants; only retrained_v2 gains (+1pp),supported,,pipe_vid_baseline_pf;pipe_vid_selcom1280_pf;pipe_vid_retrainedv2_pf,,"segment/alert grain is the production-relevant unit, not per-frame",confirmed,§9.5.2/9.5.6
cascade-segment-recovers,2026-05-30,"at segment grain (+temporal+patch) the cascade recovers classifier-stage loss: baseline 0.760->0.586->0.826; temporal smoother is the load-bearing recovery step, patch veto small",supported,,pipe_vid_baseline_seg;pipe_vid_selcom1280_seg,,temporal voting is the recovery mechanism,confirmed,§9.5.4/9.5.6
cascade-tightens-variance,2026-05-30,the cascade tightens RGB-variant variance: stage-1 F1 spans 15.5pp -> post-cascade segment spans 5.6pp; selcom_1280 confuser FPR collapses 0.709->0.136 (81%) at -0.7pp drone F1,supported,,pipe_vidconf_baseline_seg;pipe_vidconf_selcom1280_seg,,downstream stack absorbs detector variance,confirmed,§9.5.5
three-classifier-realvideo,2026-05-30,"on real video sa32 dominates: highest segment drone F1 for all RGB variants (+18-22pp vs control40, +59-71pp vs fnfn); fnfn rejects 85% of correct drone TPs (seg R 0.128) - too conservative to ship",supported,fnfn valid only when confuser cost dominates and missed drones tolerable,pipe3clf_sa32;pipe3clf_control40;pipe3clf_fnfn,trust-classifier-conditional,Svanstrom classifier ordering predicts real-video; basis for sa32 production flip,confirmed,§9.5.8
cascade-bird-vs-airplane-asymmetry,2026-05-30,cascade value is concentrated on birds (per-frame FP suppression ~80%) but essentially inert on airplanes (sometimes ADDS FPs; segment FPR ~0.21 across all RGB),supported,,pipe_percat_sa32,,cascade handles exactly the category (birds) where detector-level mining hits a wall,confirmed,§9.5.9; strongest argument for cascade design intent
selcom960-cross-surface-winner,2026-05-30,"selcom_960 is the cross-surface drone-first winner (composite rank 2.5): #1 selcom holdout F1 (0.585), #1 Roboflow OOD drone +patch (0.84); NOT in production stack",partial,loses to baseline on Svanstrom medium + clean video; untested in full pipeline,xsurf_selcom_holdout;xsurf_roboflow_drone,,selcom_960 as candidate production RGB - revisit stack,open,§12
selcom1280-bleeds-fp,2026-05-30,"selcom_1280 has highest raw recall but bleeds FPs: Anti-UAV P=0.84 (849 FP, F1 0.902), worst Roboflow confuser FP total (4311 vs hardneg 785); imgsz=640 inference trades recall for far fewer FPs",supported,,xsurf_antiuav_selcom1280,,selcom recall-vs-FP tradeoff is resolution-tunable,confirmed,§12.1
dual-classifier-v3,2026-05-30,"splitting sa32 into a dual architecture (paired 24feat + grayscale 32feat) strictly dominates single sa32: bird-confuser RGB-fallback 0.247->1.000 F1, seagull 0.461->0.942, rgb_test 0.690->0.960, paired core neutral",supported,grayscale-fallback airplane/heli F1 still ~0.50; needs more hard-neg mining,dualclf_v3_vs_sa32,,dual-classifier architecture for missing-modality fallback,confirmed,§[2026-05-26]; leakage fix: seagull held out
embedding-distillation-cv,2026-05-30,YOLO p5 backbone embeddings are highly informative for drone/confuser separation: LogReg 0.71->0.99 F1 with 256 embedding feats; MLP 0.9955 CV; meta-alone already 0.966 (XGB),partial,CV ONLY - Phase 3 held-out test-surface eval not completed (re-run needed),distill_cv_mlp;distill_cv_xgb,,distill YOLO internal features instead of reprocessing pixels (precursor to V5),open,§[2026-05-27]; ancestor of 517-D V5 MLP
v5-selcom-train-deploy-mismatch,2026-05-30,V5's initial selcom collapse (F1 0.243) was a train-deploy distribution mismatch not a feature ceiling: pure-CCTV source recovers to 0.607 (+37pp); the drone-weight bump is redundant once source matches,supported,,v5_selcom_mixed_src;v5_selcom_pure3x5,,train-source distribution match > loss-reweighting for verifier deploy,confirmed,§13.2
latency-edge-unmeasured,2026-05-30,"end-to-end pipeline latency on edge hardware is UNMEASURED (§10 placeholders); only verifier-stage latency measured (V5 1.3-2.1ms/det vs patch 59-112ms, 37-72x faster; V5 PF overhead 1-4% vs patch 48-191%)",partial,verifier-stage measured (§13.7/13.8); full e2e on target hardware not run,,,deployment latency budget,open,§10 + §13.7/13.8
prov-patch-v3-path,2026-05-30,patch verifier v3 weights file path is unknown/deleted - blocks reproducing the v3 0.8781 F1,partial,,patch_v3_svan640,,,open,§11
prov-may10-imgsz,2026-05-30,the imgsz of the May-10 ablation (Anti-UAV + Svanstrom) is unconfirmed (640 vs 1280) - affects comparability of May-10 classifier/patch rows,supported,,,,,confirmed,"CONFIRMED imgsz=640: rgb_only Svanstrom recall=0.0721 in this ablation is the 640 small-drone collapse (1280 would be ~0.959 per imgsz-1280-svanstrom memory). Resolves the IR svan-row label (it is 640, not 1280)."
prov-fnfn-training,2026-05-30,fusion_no_fn_v1.1 training data composition + val accuracy are NOT recoverable - no metrics.json saved at train time,partial,,,,,open,§11; provenance gap on a production-candidate classifier
prov-ir-gray-confuser-src,2026-05-30,IR-on-grayscale-confuser halluc rates (airplane 16.2%/other 22.2% @1280) have source=UNKNOWN,partial,,,,,open,§4 table source UNKNOWN; verify before citing
prov-ir-antiuav-gray,2026-05-30,IR on antiuav_rgb_gray (real R/P with GT) at imgsz 640+1280 is NOT YET RUN (placeholder),partial,,,,,open,§4; the only labeled grayscale-cross-domain dataset
ir-verifier-conditional,2026-05-30,IR confuser verifier (MLP or patch) is net-negative on normal IR surfaces; v3b is already precise so there is no FP headroom -- a verifier helps only in confuser-saturated thermal scenes,conditional,net-negative on ir_dset/ir_video (~-5% recall for <=4 FP even @thr0.05); the only confuser win is CBAM (48->4) but CBAM-train is IN the MLP training (in-domain); on held-out real thermal confusers (ir_video) v3b fires 0 FP -> nothing to cut. So the confuser-dense exception is in-domain-inflated; effectively ship none.,ir_mlp_v5_cbam_thr05;ir_mlp_v5_ir_dset_thr05,ir-grayscale-harvest-solves-thermal-verifier,yes -- symmetric counterpart to RGB V5: verifier value is conditional on detector hallucination rate (RGB raw-F1 0.60 won; IR 0.95-0.96 net-neg),confirmed,SUPERSEDED 2026-05-31 by ir-grayscale-harvest-solves-thermal-verifier: the ship-none conclusion held ONLY for the pure-thermal mlp_v5_ir (trained without confuser data); grayscale-harvest + per-modality alignment yields a DEPLOYABLE thermal verifier (held-out CBAM 48->13 FP at ~0 recall cost). Finding remains valid as stated for the pure-thermal verifier. (MRI in-pool CV verdict is optimistic; use held-out gate eval/ir_verifier_eval.py.)
gray-thermal-alignable,2026-05-31,"The gray<->thermal feature gap in v3b is a trivial per-feature affine offset, not a representation difference -- same neurons fire (drone centroid cos 0.012, act-corr 0.93-0.99); naive cross-modal drone-vs-confuser transfer is chance (AUROC 0.500) but PER-MODALITY z-score rescues it to 0.919 (~thermal ceiling 0.974; CORAL 0.707). So grayscale-harvested confusers CAN substitute for scarce thermal confusers after z-score alignment.",supported,,,,yes -- IR detector was never trained on grayscale; cross-modal feature-space equivalence + alignment is novel and solves thermal confuser scarcity,confirmed,"mri/modality_align.py + mri/modality_probe.py; results mri/results/modality_align,modality_probe. svan+antiuav drones for alignment estimate."
ir-recall-fixed-by-drone-diversity,2026-05-31,"Adding the corrective-set 30k thermal drones (drone-diversity re-mine) makes the IR V5 verifier RECALL-SAFE on held-out thermal (dR ~0 vs old -4 to -6%); the recall loss was OOD-drone coverage, not conf-reliance.",supported,,ir_mlp_dronediv_heldout,,yes,confirmed,"Overnight 2026-05-31. BUT thermal FP headroom ~0 (sea 3/8398, road 0/652, antiuav 68/4269) so recall-safe != useful on plain thermal; pairs with gray-thermal-alignable to get confuser-rich + recall-safe."
ir-grayscale-is-hallucination-mode,2026-05-31,v3b hallucinates ~20x more in grayscale-fallback than thermal (raw halluc 37.2%/img vs 1.8%); a grayscale-mode V5 verifier cuts held-out confuser FP 96% (325->13). IR model was never trained on grayscale so this cross-modal behavior is novel info.,supported,"strong confuser cut, but grayscale drone DETECTION is weak (see grayscale-drone-recall) so it bounds the grayscale deployment mode",,,yes,confirmed,Overnight 2026-05-31; mri/results/ir_grayscale_v5 + ir_grayscale_holdout.
grayscale-drone-recall,2026-05-31,"Grayscale-fallback drone DETECTION beats raw-RGB-into-thermal-model (svan +0.197, rgb_dataset +0.130 recall, validating the cross-modal trick) but absolute grayscale recall is mediocre (0.33-0.65) and well below thermal (0.79-0.98), and surface-dependent (antiuav -0.20).",supported,,,,yes -- grayscale cross-modal info is novel for this IR model,confirmed,eval/gray_drone_effect.py; mri/results/gray_drone_effect. rgb_video 0 recall (known detector blind spot).
ir-mlp-conf-not-loadbearing,2026-05-31,"The IR V5 MLP signal is carried by p3/p5 appearance not detection confidence -- yolo-only CV-F1 0.986 ~= fused 0.987; meta-only 0.946. Dropping conf is a no-op; the recall loss is OOD-drone generalization, not conf-reliance.",supported,,,,,confirmed,CV diagnostic via mri --resume --feature-set on staged ir_v3b_regen corpus. Closed the drop-conf lever (drone-diversity was the real fix).
ir-grayscale-harvest-solves-thermal-verifier,2026-05-31,"Harvesting confusers from the abundant RGB->grayscale corpus and per-modality z-aligning them into thermal feature space yields a DEPLOYABLE thermal verifier that is both confuser-rich and recall-safe: on HELD-OUT CBAM it cuts novel thermal aerial-confuser FP 48->15 (69pct, F1 0.699->0.846, +0.147) at ~0 thermal-drone recall cost (ir_dset -0.007, ir_video/antiuav 0). The old patch verifier cut only 7.",supported,,,ir-verifier-conditional,"yes -- the IR confuser-verifier blocker was confuser DATA scarcity, not the detector; grayscale harvest + domain alignment solves it. Reverses the earlier ship-none verdict.",confirmed,"mri/train_aligned.py + eval/run_aligned.py; mri/results/ir_aligned, ir_aligned_holdout. Caveat: CBAM drone recall -0.050 (novel OOD drone domain); CBAM is the single held-out thermal-aerial confuser set. Numbers reconciled 2026-06-13 to canonical eval ir_aligned_cbam_heldout (was 48->13/73pct/+0.143/ir_dset-0.012)."
ir-features-separable,2026-05-31,"IR detector (finetune_v3b) FPN p3+p5 ROI features (517-D) linearly separate drones from confusers: LDA train separability 0.981, max ANOVA F 5370 (ir_v3b_report; the 15032 value is from the separate ir_v3b_regen run, LDA 0.954), on 14697 drones + 1386 confusers; raw detector halluc 1.8%/img; projected FP cut 89% at 10% recall cost.",supported,Model MRI on mri/results/ir_v3b_report; fused 517-D features,,,yes -- IR half of the feature-distillation result: the confuser-rejection signal already exists inside the IR detector,confirmed,MRI run py -m mri --config mri/configs/ir_v3b.yaml; figures ir_v3b_lda/anova/heatmap/neurons.png
fusion-feature-leakage,2026-05-31,"In the 56-D fusion feature space, scene-statistic features are scene fingerprints (not class signal); a small confidence+geometry+cross-modal core carries the trust signal",conditional,"features mined from selcom_1280 RGB + v3b IR (old detector); screen only, must re-validate on ft4",,,leakage-aware feature-selection statistic F_domain_inclass/F_class confirms lean13/lean17 deprecations quantitatively rather than by hindsight,open,"LDA sep 0.982; rgb_img_std/rgb_img_entropy AUROC 0.50-0.51 but leakage 307-350; robust core (conf_sum, ir/rgb max+mean conf, ir/rgb box geometry, xmodal scale/conf ratio) AUROC>0.9 leakage<0.006. CAVEAT: detection-presence flags rank high but are label-tautological (leakage catches scene not label leakage); signal IR-dominant on antiuav-heavy corpus. script classifier/fusion_feature_stats.py; table feature_stats_ranked.csv; doc docs/analysis/2026-05-31_fusion_feature_leakage_stats.md"
ft4-lean-trust-classifier,2026-05-31,"On the current ft4+v3b detector, a 6-feature trust classifier (confidences+box geometry, no scene/position fingerprints) beats the full 19-feature lean set and is far more OOD-robust",supported,"ft4-mined fusion data, GroupShuffleSplit; antiuav s25/svan s10 screen sample; video_confuser surfaces near-single-class",,,validates leakage-aware feature selection on the production detector: dropping fingerprint features doubles OOD-drone-video F1,confirmed,robust6 F1m 0.810 vs all19 0.787; OOD drone video 0.262(all19)->0.436(no_fp)->0.578(robust6); robust6=rgb/ir max_conf+log_bbox_area+aspect; meta4(4) loses confuser rejection 0.222; sa32 0.949 ref NOT comparable (old detector+scene feats+own split). doc docs/analysis/2026-05-31_ft4_lean_trust_classifier.md; model trust_ft4_robust6.joblib. relates to fusion-feature-leakage
ir-mlp-aligned-warranted,2026-05-31,"Aligned IR verifier (mlp_v5_ir_aligned) is deployable: drone-diversity re-mine + grayscale-harvested confusers z-aligned into thermal feature space yields CBAM held-out F1 0.699->0.846, FP 48->15, recall-safe (dR~0). Reverses the 2026-05-30 ship-none verdict.",supported,,,,cross-modal (grayscale->thermal) verifier alignment,confirmed,"per project_ir_mlp_necessity 2026-05-31; numbers reconciled 2026-06-13 to canonical eval ir_aligned_cbam_heldout (was 0.841/13, now 0.846/15)"
dual-verifier-fusion-rule,2026-05-31,"Two-verifier fusion (RGB mlp_v5 + IR mlp_v5_ir_aligned), TRUST-FIRST order: trust classifier routes (sa32 or its replacement), then the trusted modality's verifier runs (IR always-on, viable because aligned IR verifier is recall-safe). reject_both->drop; trust_rgb->keep iff RGB verifier passes; trust_ir->keep iff IR verifier passes; trust_both conflict resolved by the router's SOFT modality scores: keep iff (s_rgb*p_rgb + s_ir*p_ir)/(s_rgb+s_ir) >= tau. Classifier-agnostic. Single-modality + grayscale-fallback paths run only that modality's branch.",supported,thresholds (tau) + router soft-weight extraction unimplemented; new classifier under eval may replace sa32; weights/paths to confirm,,,trust-router-weighted dual-modality verifier fusion,confirmed,IMPLEMENTED 2026-06-01 in pyside_engine.py: trust-first (classify-then-filter) via _mlp_trust_first + toggle mlp_cascade_order (classifier_then_filter default | filter_then_classifier). Classifier picks trusted modality; MLP verifies ONLY trusted modality; trust re-derived (fully-vetoed trusted modality loses trust). trust_both conflict = per-modality (recall-first OR-survive); cross-modal soft-weight NOT implemented (needs box matching) - optional future. IR aligned + RGB mlp_v5 both ON.
offline-verifier-matrix,2026-06-01,"Offline full-pipeline verifier matrix (1000 strided frames/surface) confirms RGB mlp_v5 and IR aligned_thermal as production, and exposes a grayscale over-veto",supported,ft4 RGB / v3b IR; offline replay from cached 517-D feats; cbam n=180,,,single re-runnable offline harness validating both modality verifiers + the grayscale caveat,confirmed,"RGB: mlp_v5 svan F1 0.613->0.865 halluc 0.449->0.045, confuser 216->16 FP, selcom P0.86->0.95, rgb_dataset recall carve-out R0.89->0.69. IR: aligned recall-safe (ir_dset dR-0.004, ir_video/antiuav neutral) + CBAM F1 0.699->0.846 FP48->15; ir_patch useless/harmful. GRAYSCALE: aligned_gray confuser FP 143->20 (-86%) BUT gray_svan drone recall 0.548->0.164 (over-veto) -> gate/tune, not per-frame. scripts pipeline_cache.py+pipeline_eval_offline.py; doc docs/analysis/2026-06-01_full_pipeline_offline_eval.md"
robust6-production-viable,2026-06-01,"The 6-feature statistically-selected trust classifier (robust6) is a production-viable replacement for the 32-feature sa32: matches in-domain, better OOD, far cheaper",supported,full-pipeline frame-level alert ablation 5000 strided; svan true-thermal IR vs confuser grayscale-fallback IR (modality split caveat); antiuav saturated,,,leakage-aware statistical feature selection (6 vs 32) beats one-shot hand-picked features; basis for a thesis chapter,confirmed,"svan F1 sa32 0.9974 vs robust6 0.9957 (-0.2pp, in-domain sa32 edges); rgb_confuser fire clf_only sa32 0.203 vs robust6 0.143 (robust6 -30pct OOD false alerts), best-composed robust6 0.057 vs sa32 0.066; antiuav robust6 -0.6pp recall. Structural: classifier dominates FP suppression (clf_only svan fire 0.003 vs filter_only 0.065 ~20x); clf+filter complementary on confuser. Order: filter->clf slightly lower FP, clf->filter (trust-first default) more recall-safe, <1pp. Study doc docs/analysis/2026-06-01_statistical_feature_selection_STUDY.md. relates to fusion-feature-leakage, ft4-lean-trust-classifier"
mlp-v5-recall-drop-is-ood-coverage,2026-06-01,"mlp_v5 recall drop is caused by vetoing OOD small real drones (distinct deep-feature signature, far from confusers), not low-confidence or confuser-like detections",conditional,"diagnosed on cached 517-D feats, rgb_dataset_test+svanstrom; LDA=1.0 is high-dim overfit, per-neuron AUROC~0.89 is the honest signal",,,"MRI statistics localise the recall drop and prescribe the fix (targeted drone-diversity re-mine, low-FP because far from confusers) and explain why untargeted remine_rgb failed",confirmed,"DIAG: vetoed drones NOT low-conf (conf delta 0), smaller (log_area delta +0.1-0.19), OOD far from confusers (centroid 16.48 vs kept 11.05, AUROC 0.876>=0.862). FIX TESTED pre/post (eval_failopen_prepost.py, tau=5pct leak on rgb_confuser): CONDITIONAL not universal. rgb_dataset_test mlp_v5 R0.694 F1 0.812 -> +failopen R0.870 F1 0.912 (recovers, +10 FP). BUT svanstrom +failopen precision CRATERS 0.887->0.631 (FP 45->211) because svan clutter FPs are OOD-from-rgb_confuser-calib -> wrongly released. Single global OOD tau does NOT transfer across surfaces. REVISED REC: size-aware threshold (log_area clean, no blanket release) or targeted dronediv re-mine > blanket fail-open; fail-open ok only with per-surface tau / low-clutter data. hook pyside_engine _mlp_gate_open. figs failopen_*.png. doc docs/analysis/2026-06-01_mlp_v5_recall_drop_mri.md"
grayscale-trust-classifier-degrades,2026-06-01,On the grayscale-IR fallback path the fusion trust classifier degrades recall; the MLP filter alone is best on grayscale,conditional,5000-frame ablation; classifier trained on thermal-IR features mis-routes on grayscale-IR; clean evidence = svanstrom_gray (NOT selcom),,,grayscale fallback needs a grayscale-aware trust classifier or classifier bypass; mlp filter alone best on grayscale,confirmed,"CLEAN EVIDENCE svanstrom_gray: filter_only[mlp] F1 0.891 R0.87 (best); clf_only sa32 R0.63/robust6 R0.60; clf->filter[sa32,mlp] 0.74. filter->clf craters on gray (sa32 R0.228) -> trust-first order required. CAVEAT: selcom_val classifier R->0.044(robust6)/0.265(sa32) is an OUTLIER, take with grain of salt -- selcom is doubly-OOD: hard RGB even RGB detector struggles (bare R0.49, needs imgsz960) AND grayscale-IR fallback never seen by IR/aligned model. native svan filter[mlp] 0.964 > gray 0.891. eval/overnight_ablation_full.py"
mlp-beats-patch-both-modalities,2026-06-01,The MLP/aligned verifier beats the patch verifier as the filter on every surface and both modalities,supported,"5000-frame comprehensive ablation, frame-level alert",,,patch verifier superseded by mlp/aligned as the filter stage,confirmed,"svan filter F1 patch 0.874 vs mlp 0.964; rgb_confuser FP patch 754 vs mlp 121; cbam F1 patch 0.658 vs aligned 0.821; ir_dset patch 0.969 vs aligned 0.986. robust6 wins OOD confuser (filter->clf mlp fire 0.0186 vs sa32 0.0277), sa32 wins in-domain svan (0.9974 vs 0.9957). eval/overnight_ablation_full.py"
